# {
#     "changing_threshold": 0.2,
#     "command": "/g100/home/userexternal/xdhori00/.conda/envs/majiq/bin/voila tsv --threshold 0.2 -j 30 output/splicegraph.sql output/oocyte-cumulus.deltapsi.voila -f ../output_tsv/PRJNA649934_voila.tsv",
#     "group_sizes": {
#         "cumulus": 4,
#         "oocyte": 6
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.4.dev102+g2cae1507"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	oocyte_mean_psi	cumulus_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
THBS4	ENSG00000113296.14	ENSG00000113296.14:s:80079905-80080077	-0.6271;-0.0921;0.7502	1.000e+00;9.017e-04;1.000e+00	0.000e+00;8.282e-02;9.255e-21	0.6268;0.1245;0.2403	0.0007;0.0007;0.9985	s|1e1.1o1|2e1.1o1|3e2.1o2	3	3	1;1;0	chr5	+	80079949-80080103;80080014-80080103;80080077-80082406	80079905-80080077;80080103-na;80082406-80082545		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A80082545-80079905
THBS4	ENSG00000113296.14	ENSG00000113296.14:t:80082406-80082545	0.9743;0.0000;-0.0000;-0.9400	1.000e+00;5.226e-21;5.226e-21;1.000e+00	1.501e-21;1.000e+00;1.000e+00;0.000e+00	0.0334;0.0010;0.0200;0.9468	0.9874;0.0049;0.0006;0.0077	t|1e2.3o3|1e3.1o1|2e1.1o2|i	4	4	0;0;1;1	chr5	+	80080077-80082406;80082312-80082406;80078839-80082467;80082313-80082405	80078835-80078969;80079905-80080077;80082004-80082312;80082406-80082545	80082313-80082405	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A80082545-80078835
SPPL2A	ENSG00000138600.11	ENSG00000138600.11:s:50726253-50728416	-0.2191;0.2191	6.464e-01;6.464e-01	4.706e-05;4.706e-05	0.3286;0.6714	0.1088;0.8912	s|1e1.1o1|1e2.1o1	2	3	0;0	chr15	-	50726126-50726321;50725323-50726321	50725221-50725519;50725916-50726126;50726253-50728416		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A50728416-50725221
SPPL2A	ENSG00000138600.11	ENSG00000138600.11:t:50725221-50725519	0.0000;0.2225;-0.2224	5.487e-21;6.724e-01;6.717e-01	1.000e+00;1.752e-05;1.741e-05	0.0009;0.6282;0.3710	0.0008;0.8522;0.1470	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr15	-	50725323-50730965;50725323-50726321;50725323-50726073	50725221-50725519;50725916-50726126;50726253-50728416;50730965-50731039		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A50731039-50725221
ARHGAP24	ENSG00000138639.18	ENSG00000138639.18:s:85570522-85570932	-0.7998;0.7998	1.000e+00;1.000e+00	0.000e+00;1.457e-20	0.8623;0.1377	0.0826;0.9174	s|1e1.1o1|1e2.1o1	2	3	1;0	chr4	+	85570721-85653064;85570721-85721885	85570522-85570932;85653064-85653122;85721885-85722386		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A85722386-85570522
ARHGAP24	ENSG00000138639.18	ENSG00000138639.18:t:85570522-85570932	0.9735;-0.9738	1.000e+00;1.000e+00	1.516e-21;0.000e+00	0.0067;0.9933	0.9928;0.0072	t|1e1.1o1|1e2.1o1	2	3	0;1	chr4	+	85475559-85570522;85489575-85570522	na-85489575;85475150-85475559;85570522-85570932		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A85570932-85475150
WDR45B	ENSG00000141580.16	ENSG00000141580.16:s:82648274-82648553	-0.3985;0.3985	1.000e+00;1.000e+00	0.000e+00;2.129e-20	0.4147;0.5853	0.0013;0.9987	s|1e1.1o1|1e2.1o1	2	3	1;0	chr17	-	82644751-82648274;82644023-82648274	na-82644751;82643949-82644023;82648274-82648553		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A82648553-82643949
DPH3	ENSG00000154813.10	ENSG00000154813.10:s:16264595-16264969	-0.2932;0.2945;-0.0000	9.628e-01;9.618e-01;5.487e-21	8.290e-08;1.588e-07;1.000e+00	0.7604;0.2358;0.0039	0.4659;0.5304;0.0030	s|1e1.1o1|1e2.1o1|2e1.1o1	3	3	0;0;0	chr3	-	16264229-16264769;16260829-16264769;16264229-16264595	16257061-16260829;16264155-16264229;16264595-16264969		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A16264969-16257061
DPH3	ENSG00000154813.10	ENSG00000154813.10:t:16257061-16260829	0.3149;-0.3149	9.868e-01;9.868e-01	1.190e-10;1.188e-10	0.1947;0.8053	0.5092;0.4908	t|1e1.1o2|1e2.1o1	2	3	0;0	chr3	-	16260829-16264769;16260829-16264155	16257061-16260829;16264155-16264229;16264595-16264969		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A16264969-16257061
EIF4A2	ENSG00000156976.17	ENSG00000156976.17:s:186787776-186788256	0.2806;-0.2806	9.981e-01;9.981e-01	2.526e-20;0.000e+00	0.0205;0.9795	0.2999;0.7001	s|1e1.1o1|1e2.1o1	2	3	0;0	chr3	+	186787882-186788310;186787882-186789125	186787776-186788256;186788310-186788507;186789125-186789897		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A186789897-186787776
EIF4A2	ENSG00000156976.17	ENSG00000156976.17:t:186789125-186789897	-0.3549;0.0550;0.1369;0.1042	1.000e+00;2.933e-20;3.682e-04;1.783e-09	0.000e+00;4.229e-01;2.980e-07;2.406e-03	0.9858;0.0032;0.0106;0.0001	0.6254;0.0877;0.1571;0.1258	t|1e1.1o1|1e2.1o2|1e2.2o2|i	4	3	0;0;0;0	chr3	+	186787882-186789125;186788416-186789125;186788420-186789125;186788508-186789124	186787776-186788256;186788310-186788507;186789125-186789897	186788508-186789124	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A186789897-186787776
ANAPC10	ENSG00000164162.14	ENSG00000164162.14:s:145081543-145081750	-0.2608;0.2608	9.064e-01;9.064e-01	7.269e-09;7.263e-09	0.9261;0.0739	0.6685;0.3315	s|1e1.1o1|1e2.1o1	2	3	0;0	chr4	-	145064692-145081660;144995603-145081660	144994575-144995603;145064572-145064692;145081543-145081750		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A145081750-144994575
ANAPC10	ENSG00000164162.14	ENSG00000164162.14:t:144994575-144995603	0.2427;-0.3126;0.0544	8.103e-01;9.913e-01;6.634e-08	4.183e-08;3.667e-12;3.683e-01	0.0553;0.9264;0.0193	0.3014;0.6136;0.0868	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr4	-	144995603-145081660;144995603-145064572;144995603-144999257	144994575-144995603;144999257-144999294;145064572-145064692;145081543-145081750		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A145081750-144994575
GRIK2	ENSG00000164418.22	ENSG00000164418.22:t:101621949-101622116	0.9655;-0.9350;0.0018;-0.0196	1.000e+00;1.000e+00;3.713e-06;5.380e-09	1.672e-21;0.000e+00;9.240e-01;6.038e-01	0.0075;0.9359;0.0008;0.0554	0.9778;0.0039;0.0158;0.0039	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;1;0;0	chr6	+	101399392-101621949;101482005-101621949;101496182-101621949;101620263-101621949	na-101482005;101398788-101399392;101495967-101496182;101620093-101620263;101621949-101622116		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A101622116-101398788
ZHX1	ENSG00000165156.15	ENSG00000165156.15:t:123248451-123250320	0.3049;-0.3049	8.999e-01;8.999e-01	6.006e-05;6.006e-05	0.0400;0.9600	0.3471;0.6529	t|1e1.1o1|1e2.1o1	2	3	0;0	chr8	-	123250320-123267273;123250320-123253322	123248451-123250320;123252429-123253442;123267273-123267391		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A123267391-123248451
TMEM170A	ENSG00000166822.13	ENSG00000166822.13:t:75451436-75451839	-0.1205;-0.0531;0.2244;-0.0000	8.722e-02;4.786e-02;6.436e-01;5.490e-21	4.241e-02;1.863e-01;2.461e-03;9.996e-01	0.1533;0.7569;0.0850;0.0026	0.0020;0.6816;0.3145;0.0020	t|1e1.1o2|1e1.2o2|1e2.1o1|2e3.1o1	4	4	0;0;0;0	chr16	-	75451839-75464672;75451839-75464468;75451839-75464232;75451837-75452639	75451436-75451839;75452639-75452697;75464232-75464416;75464468-75464737		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A75464737-75451436
CEP120	ENSG00000168944.17	ENSG00000168944.17:s:123364496-123364795	-0.5181;-0.3786;0.0002;0.9282	9.985e-01;9.989e-01;4.515e-07;1.000e+00	5.662e-07;1.507e-07;9.909e-01;2.591e-21	0.5563;0.3918;0.0016;0.0485	0.0301;0.0060;0.0060;0.9578	s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1	4	4	1;0;0;0	chr5	-	123360427-123364496;123358806-123364496;123358445-123364496;123350089-123364496	na-123360427;123349944-123352576;123358244-123358806;123364496-123364795		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A123364795-123349944
ZNF415	ENSG00000170954.12	ENSG00000170954.12:s:53116105-53116433	-0.0000;-0.0302;0.3692;-0.3054	5.496e-21;4.227e-04;9.663e-01;8.445e-01	9.988e-01;3.758e-01;4.569e-06;7.422e-04	0.0095;0.1090;0.0494;0.8286	0.0029;0.0623;0.4239;0.5253	s|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1	4	5	0;0;0;0	chr19	-	53115924-53116313;53115811-53116313;53115307-53116313;53109908-53116313	53107879-53109908;53115210-53115332;53115704-53115811;53115847-53115924;53116105-53116433		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A53116433-53107879
ZNF415	ENSG00000170954.12	ENSG00000170954.12:t:53107879-53109908	0.0451;0.0000;-0.2678;-0.0766;0.2967	1.893e-02;5.488e-21;7.924e-01;3.346e-03;9.294e-01	2.438e-01;9.999e-01;1.505e-03;1.353e-01;2.606e-05	0.1604;0.0022;0.6707;0.1478;0.0295	0.2205;0.0018;0.3968;0.0537;0.3197	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	0;0;0;0;0	chr19	-	53109908-53122662;53109908-53122404;53109908-53116313;53109908-53115704;53109908-53115210	53107879-53109908;53115210-53115332;53115704-53115811;53116105-53116433;53122404-53122616;53122662-53122743		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A53122743-53107879
MRPL36	ENSG00000171421.13	ENSG00000171421.13:t:1798385-1798947	0.0000;-0.2609;0.0000;0.0173;0.2514;0.0000	5.493e-21;9.350e-01;5.487e-21;6.635e-03;7.955e-01;5.487e-21	9.992e-01;1.656e-11;1.000e+00;3.611e-01;3.322e-04;1.000e+00	0.0003;0.2800;0.0044;0.6745;0.0382;0.0003	0.0068;0.0066;0.0009;0.6895;0.2933;0.0009	t|1e1.1o2|1e1.2o2|1e2.1o3|1e2.2o3|1e2.3o3|1e3.1o1	6	4	0;1;0;0;0;0	chr5	-	1798947-1801334;1798947-1801238;1798947-1799810;1798947-1799792;1798947-1799771;1798947-1799077	1798385-1798947;1799077-1799750;1799771-1799895;1801238-1801366		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A1801366-1798385
ANO6	ENSG00000177119.17	ENSG00000177119.17:s:45215987-45216391	-0.3898;-0.0339;0.3209;0.0880	9.996e-01;7.897e-04;9.419e-01;1.886e-02	7.631e-11;3.394e-01;3.322e-05;1.225e-01	0.4224;0.1185;0.4483;0.0091	0.0357;0.0699;0.7736;0.1168	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr12	+	45216391-45228168;45216391-45270462;45216391-45302014;45216391-45331295	45215987-45216391;45228168-45228273;45270462-45270524;45302014-45302093;45331295-45331423		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A45331423-45215987
ANO6	ENSG00000177119.17	ENSG00000177119.17:s:45302014-45302093	-0.3730;0.3670;0.0013	9.993e-01;9.966e-01;5.793e-21	5.218e-15;5.990e-09;9.292e-01	0.4029;0.5953;0.0018	0.0022;0.9729;0.0251	s|1e1.1o1|1e2.1o1|i	3	3	0;0;1	chr12	+	45302093-45313199;45302093-45331295;45302094-45313198	45302014-45302093;45313199-45313512;45331295-45331423	45302094-45313198	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A45331423-45302014
XRCC6	ENSG00000196419.13	ENSG00000196419.13:s:41636516-41636770	-0.0003;-0.0045;-0.0001;0.0000;0.0170;0.0147;0.0454;0.0583;0.0000;0.0334;-0.2628	5.579e-21;7.717e-21;5.515e-21;5.490e-21;1.065e-20;9.876e-21;1.300e-08;3.184e-07;5.500e-21;1.543e-20;9.032e-01	9.879e-01;7.892e-01;9.963e-01;9.996e-01;6.393e-01;6.674e-01;2.661e-01;3.040e-01;9.982e-01;5.297e-01;1.774e-07	0.0267;0.0415;0.0206;0.0002;0.0271;0.0085;0.0438;0.0618;0.0075;0.0142;0.7462	0.0219;0.0383;0.0117;0.0248;0.0534;0.0509;0.1025;0.1247;0.0233;0.0603;0.4859	s|1e2.3o3|2e3.3o7|3e2.2o3|4e3.7o7|5e3.5o7|6e3.5o7|7e3.4o7|8e3.6o7|9e3.2o7|10e3.6o7|11e1.1o1	11	4	1;1;1;1;1;1;1;1;1;1;0	chr22	+	41636532-41661387;41636540-41663839;41636542-41661379;41636648-41663870;41636705-41663862;41636706-41663862;41636720-41663860;41636727-41663866;41636728-41663721;41636731-41663866;41636770-41637608	41636516-41636770;41637608-41637791;41661331-41661699;41663622-41664048		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A41664048-41636516
XRCC6	ENSG00000196419.13	ENSG00000196419.13:t:41656903-41657032	0.3135;-0.3135	9.976e-01;9.976e-01	2.402e-20;0.000e+00	0.6647;0.3353	0.9987;0.0013	t|1e1.1o1|1e2.1o1	2	3	0;1	chr22	+	41653690-41656903;41654824-41656903	na-41654824;41653529-41653690;41656903-41657032		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A41657032-41653529
XRCC6	ENSG00000196419.13	ENSG00000196419.13:t:41663622-41664048	-0.2406;0.0000;-0.0000;0.0504;0.0014;0.0010;0.0566;0.0073;0.0000	8.276e-01;5.487e-21;5.502e-21;2.051e-20;5.904e-21;5.785e-21;2.246e-20;7.665e-21;5.487e-21	2.166e-11;1.000e+00;9.979e-01;4.645e-01;9.436e-01;9.587e-01;3.296e-01;7.814e-01;1.000e+00	0.8866;0.0042;0.0232;0.0246;0.0150;0.0050;0.0338;0.0079;0.0001	0.6463;0.0171;0.0288;0.0764;0.0387;0.0375;0.0930;0.0442;0.0187	t|1e2.1o1|2e1.9o11|3e1.2o11|4e1.7o11|5e1.5o11|5e1.6o11|6e1.8o11|6e1.10o11|7e1.4o11	9	3	0;1;1;1;1;1;1;1;1	chr22	+	41661444-41663622;41636728-41663721;41636540-41663839;41636720-41663860;41636705-41663862;41636706-41663862;41636727-41663866;41636731-41663866;41636648-41663870	41636516-41636770;41661331-41661699;41663622-41664048		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A41664048-41636516
SNHG17	ENSG00000196756.15	ENSG00000196756.15:s:38426419-38426988	0.0016;0.0123;0.0054;0.2774;-0.3561	9.547e-08;5.170e-04;1.144e-06;8.206e-01;9.503e-01	9.339e-01;5.002e-01;8.108e-01;1.583e-04;4.527e-05	0.0008;0.0837;0.0008;0.0461;0.8703	0.0228;0.1129;0.0309;0.3189;0.5042	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1	5	5	0;0;0;0;0	chr20	-	38426052-38426419;38426048-38426419;38422368-38426419;38422241-38426419;38421098-38426419	38421006-38421098;38422012-38422241;38422291-38423566;38425935-38426077;38426419-38426988		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A38426988-38421006
SNHG17	ENSG00000196756.15	ENSG00000196756.15:t:38421006-38421098	-0.0000;-0.3379;-0.0540;0.0000;0.0101;0.0004;0.2275;0.1313;0.0000;0.0000;0.0000	5.496e-21;9.343e-01;7.584e-05;5.488e-21;1.890e-04;2.258e-09;6.610e-01;1.429e-01;5.488e-21;5.488e-21;5.488e-21	9.989e-01;2.336e-05;3.120e-01;9.999e-01;6.629e-01;9.844e-01;9.500e-04;3.489e-02;9.999e-01;9.999e-01;9.999e-01	0.0113;0.8430;0.0888;0.0003;0.0003;0.0003;0.0234;0.0336;0.0003;0.0003;0.0003	0.0009;0.4860;0.0100;0.0009;0.0420;0.0112;0.2608;0.1755;0.0009;0.0009;0.0009	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o5|1e6.2o5|1e6.3o5|1e6.4o5|1e6.5o5|1e7.1o1	11	8	0;0;0;0;0;0;0;0;0;0;0	chr20	-	38421098-38431041;38421098-38426419;38421098-38425935;38421098-38423606;38421098-38422291;38421098-38422096;38421098-38422092;38421098-38422087;38421098-38422046;38421098-38422012;38421098-38421352	38421006-38421098;38421352-38421392;38422012-38422241;38422291-38423566;38423606-38424203;38425935-38426077;38426419-38426988;38431041-38433040		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A38433040-38421006
ZNF138	ENSG00000197008.10	ENSG00000197008.10:s:64814918-64815044	0.4309;0.0302;-0.4030;-0.0625	9.958e-01;2.107e-02;9.955e-01;1.421e-02	3.013e-08;2.680e-01;5.123e-07;1.638e-01	0.0638;0.2559;0.4934;0.1790	0.4894;0.3220;0.0973;0.0885	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	4	4	0;0;0;0	chr7	+	64815044-64815572;64815044-64815576;64815044-64830940;64815044-64831451	64814918-64815044;64815572-64815653;64830940-64831076;64831451-64833681		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A64833681-64814918
KIF13B	ENSG00000197892.13	ENSG00000197892.13:s:29245346-29245439	-0.4437;0.3480;0.1054;-0.0000	9.997e-01;9.733e-01;2.178e-04;5.487e-21	1.110e-16;1.339e-06;3.147e-02;1.000e+00	0.4665;0.5139;0.0207;0.0018	0.0004;0.8614;0.1377;0.0004	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	1;0;0;0	chr8	-	29234333-29245346;29196199-29245346;29191057-29245346;29186472-29245346	na-29234333;29186292-29186472;29189301-29191057;29196187-29196199;29245346-29245439		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A29245439-29186292
KIF13B	ENSG00000197892.13	ENSG00000197892.13:t:29245346-29245439	-0.3656;0.3656	1.000e+00;1.000e+00	5.029e-14;2.613e-18	0.9949;0.0051	0.6198;0.3802	t|1e1.1o1|1e2.1o1	2	3	0;0	chr8	-	29245439-29262980;29245439-29249985	29245346-29245439;29249985-29250084;29262980-29263124		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A29263124-29245346
TLCD4-RWDD3	ENSG00000271092.5	ENSG00000271092.5:s:95151325-95151419	-0.2364;0.2364	7.629e-01;7.629e-01	1.569e-04;1.569e-04	0.2626;0.7374	0.0118;0.9882	s|1e1.1o1|1e2.1o1	2	3	1;0	chr1	+	95151419-95153088;95151419-95173816	95151325-95151419;95153088-na;95173816-95173889		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A95173889-95151325
GPM6B	ENSG00000046653.15	ENSG00000046653.15:s:13938507-13938638	-0.9740;0.9738	1.000e+00;1.000e+00	0.000e+00;1.511e-21	0.9848;0.0152	0.0048;0.9952	s|1e1.1o1|1e2.1o1	2	3	1;0	chrX	-	13934451-13938507;13785808-13938507	13785622-13785808;13934396-13934451;13938507-13938638		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A13938638-13785622
EIF2AK2	ENSG00000055332.19	ENSG00000055332.19:t:37148857-37149257	0.0000;-0.4855;0.5006;-0.3864;0.3863;0.0000	8.446e-10;1.000e+00;9.999e-01;9.990e-01;9.642e-01;8.446e-10	9.988e-01;2.807e-13;7.363e-11;3.692e-10;2.611e-05;9.988e-01	0.0013;0.4973;0.0089;0.4053;0.0746;0.0013	0.0026;0.0026;0.5065;0.0026;0.4830;0.0026	t|1e2.1o1|2e1.1o1|2e2.1o1|3e1.1o1|3e2.1o1|4e2.1o1	6	3	0;0;0;1;0;0	chr2	-	37149257-37156908;37149023-37157367;37149023-37156908;37148939-37157367;37148939-37156908;37148915-37156908	37148857-37149257;37156908-37157192;37157367-37157522		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A37157522-37148857
APLP2	ENSG00000084234.18	ENSG00000084234.18:t:130126700-130126830	-0.0000;0.2818;-0.2793	5.491e-21;8.518e-01;8.442e-01	9.995e-01;3.687e-04;4.172e-04	0.0034;0.2691;0.7274	0.0011;0.5592;0.4398	t|1e1.2o2|1e2.1o1|1e3.1o1	3	4	0;0;0	chr11	+	130110661-130126700;130122513-130126700;130123779-130126700	130110574-130110661;130122305-130122513;130123612-130123779;130126700-130126830		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A130126830-130110574
TMEM230	ENSG00000089063.15	ENSG00000089063.15:t:5109158-5109445	-0.2453;0.0712;0.1182;-0.0035;0.0000;0.0000;0.0000	8.694e-01;8.034e-10;4.077e-04;6.665e-21;5.488e-21;5.489e-21;5.487e-21	1.170e-08;2.122e-01;9.668e-03;8.712e-01;9.998e-01;9.998e-01;1.000e+00	0.9258;0.0037;0.0277;0.0343;0.0005;0.0071;0.0005	0.6844;0.0966;0.1459;0.0266;0.0205;0.0222;0.0013	t|1e1.1o1|1e2.1o3|1e2.2o3|1e2.3o3|1e3.1o1|1e4.1o1|1e5.1o1	7	6	0;0;0;0;0;0;0	chr20	-	5109445-5112961;5109445-5112743;5109445-5112730;5109445-5112720;5109445-5111764;5109445-5111500;5109445-5111057	5109158-5109445;5111057-5111174;5111500-5111605;5111764-5111808;5112720-5112904;5112961-5113103		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A5113103-5109158
ZFYVE21	ENSG00000100711.14	ENSG00000100711.14:s:103715730-103715979	0.5798;-0.5798	1.000e+00;1.000e+00	1.513e-20;0.000e+00	0.4095;0.5905	0.9973;0.0027	s|1e1.1o1|1e2.1o1	2	3	0;0	chr14	+	103715979-103726792;103715979-103728908	103715730-103715979;103724509-103726842;103728786-103728983		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A103728983-103715730
ZFYVE21	ENSG00000100711.14	ENSG00000100711.14:s:103729091-103729394	-0.2228;0.2228	6.900e-01;6.900e-01	1.381e-04;1.381e-04	0.3182;0.6818	0.0927;0.9073	s|1e1.1o1|1e2.1o1	2	3	0;0	chr14	+	103729182-103729793;103729182-103732620	103729091-103729394;103729490-103730037;103732620-103732762		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A103732762-103729091
ZFYVE21	ENSG00000100711.14	ENSG00000100711.14:t:103728786-103728983	-0.4689;0.4689	1.000e+00;1.000e+00	0.000e+00;1.892e-20	0.4850;0.5150	0.0021;0.9979	t|1e1.1o1|1e2.1o1	2	3	0;0	chr14	+	103715979-103728908;103727914-103728908	103715730-103715979;103727454-103728092;103728786-103728983		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A103728983-103715730
CARD8	ENSG00000105483.18	ENSG00000105483.18:s:48249751-48249878	0.3946;-0.3946	9.807e-01;9.807e-01	8.702e-06;8.702e-06	0.4245;0.5755	0.8325;0.1675	s|1e1.1o1|1e2.1o1	2	3	0;0	chr19	-	48249633-48249751;48241063-48249751	48240962-48241063;48249523-48249668;48249751-48249878		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A48249878-48240962
CARD8	ENSG00000105483.18	ENSG00000105483.18:t:48240962-48241063	-0.4195;0.3256;0.0100;0.0100	9.803e-01;8.713e-01;2.301e-04;2.933e-04	1.866e-05;7.837e-04;6.692e-01;6.661e-01	0.6903;0.3056;0.0020;0.0020	0.2693;0.6613;0.0395;0.0382	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr19	-	48241063-48249751;48241063-48249523;48241063-48246075;48241063-48242540	48240962-48241063;48242540-48242644;48246075-48246381;48249523-48249668;48249751-48249878		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A48249878-48240962
LSM5	ENSG00000106355.10	ENSG00000106355.10:t:32489234-32489344	-0.1428;-0.0000;0.2588;-0.0487;-0.0030;0.0000	7.082e-02;5.487e-21;9.009e-01;2.155e-20;6.479e-21;5.487e-21	8.324e-03;1.000e+00;3.550e-09;4.700e-01;8.891e-01;1.000e+00	0.2143;0.0123;0.6564;0.0786;0.0421;0.0002	0.0701;0.0004;0.9147;0.0149;0.0004;0.0004	t|1e1.1o2|1e1.2o2|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o1	6	5	0;0;0;0;0;0	chr7	-	32489344-32495230;32489344-32494991;32489344-32490320;32489344-32490131;32489344-32490025;32489344-32489464	32489234-32489344;32489464-32489600;32490025-32490100;32490131-32490863;32494991-32495283		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A32495283-32489234
SLC35D1	ENSG00000116704.8	ENSG00000116704.8:t:67020369-67020447	0.8709;-0.8709	1.000e+00;1.000e+00	5.015e-21;0.000e+00	0.1280;0.8720	0.9974;0.0026	t|1e1.1o1|1e2.1o1	2	3	0;1	chr1	-	67020447-67021535;67020447-67020645	67020369-67020447;67020645-na;67021535-67021602		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A67021602-67020369
PHTF1	ENSG00000116793.16	ENSG00000116793.16:s:113759023-113759489	-0.2690;0.2690	7.435e-01;7.435e-01	3.332e-03;3.332e-03	0.5299;0.4701	0.2317;0.7683	s|1e1.1o2|1e1.2o2	2	2	0;0	chr1	-	113758848-113759023;113758733-113759023	113758659-113758848;113759023-113759489		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A113759489-113758659
ELL2	ENSG00000118985.16	ENSG00000118985.16:s:95942918-95943049	0.1808;-0.2723;0.0351;-0.0000;-0.0000;-0.0000	3.149e-01;9.859e-01;2.112e-20;5.226e-21;5.226e-21;5.226e-21	6.568e-09;9.714e-14;5.108e-01;1.000e+00;1.000e+00;1.000e+00	0.0010;0.9952;0.0010;0.0010;0.0010;0.0010	0.2016;0.7066;0.0652;0.0077;0.0034;0.0141	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.2o2|1e5.1o1|i	6	6	0;0;1;0;0;1	chr5	-	95932713-95943002;95919545-95943002;95913934-95943002;95906782-95943002;95901080-95943002;95932714-95942917	95900956-95901132;95906523-95906876;95913326-95913934;95919424-95919545;95932632-95932713;95942918-95943049	95932714-95942917	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A95943049-95900956
