#miRNA	read_count	precursor	total	cc1	cc2	cc3	mm1	mm2	mm3	cc1(norm)	cc2(norm)	cc3(norm)	mm1(norm)	mm2(norm)	mm3(norm)
hsa-miR-4659b-5p	2.00	hsa-mir-4659b	2.00	0	0	0	0	1.00	1.00	0	0	0	0	0.49	0.50
hsa-miR-466	0.00	hsa-mir-466	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4660	0.00	hsa-mir-4660	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4661-3p	0.00	hsa-mir-4661	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4661-5p	6.00	hsa-mir-4661	6.00	1.00	4.00	0	0	1.00	0	0.64	1.58	0	0	0.49	0
hsa-miR-4662a-5p	11.00	hsa-mir-4662a	11.00	5.00	1.00	1.00	2.00	1.00	1.00	3.22	0.40	1.52	0.45	0.49	0.50
hsa-miR-4662a-3p	1.00	hsa-mir-4662a	1.00	1.00	0	0	0	0	0	0.64	0	0	0	0	0
hsa-miR-4662b	2.00	hsa-mir-4662b	2.00	0	0	1.00	1.00	0	0	0	0	1.52	0.23	0	0
hsa-miR-4663	0.00	hsa-mir-4663	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4664-5p	1.00	hsa-mir-4664	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-4664-3p	4.00	hsa-mir-4664	4.00	0	1.00	1.00	1.00	1.00	0	0	0.40	1.52	0.23	0.49	0
hsa-miR-4665-5p	23.00	hsa-mir-4665	23.00	3.00	12.00	1.00	0	4.00	3.00	1.93	4.75	1.52	0	1.98	1.50
hsa-miR-4665-3p	0.00	hsa-mir-4665	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4666a-5p	1.00	hsa-mir-4666a	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-4666a-3p	0.00	hsa-mir-4666a	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4666b	0.00	hsa-mir-4666b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4667-5p	1.00	hsa-mir-4667	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-4667-3p	0.00	hsa-mir-4667	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4668-3p	0.00	hsa-mir-4668	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4668-5p	7.00	hsa-mir-4668	7.00	0	2.00	0	0	4.00	1.00	0	0.79	0	0	1.98	0.50
hsa-miR-4669	0.00	hsa-mir-4669	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4670-3p	0.00	hsa-mir-4670	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4670-5p	1.00	hsa-mir-4670	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-4671-5p	0.00	hsa-mir-4671	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4671-3p	0.00	hsa-mir-4671	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4672	4.00	hsa-mir-4672	4.00	1.00	0	0	1.00	2.00	0	0.64	0	0	0.23	0.99	0
hsa-miR-4673	0.00	hsa-mir-4673	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4674	0.00	hsa-mir-4674	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4675	0.00	hsa-mir-4675	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4676-3p	2.00	hsa-mir-4676	2.00	0	0	0	2.00	0	0	0	0	0	0.45	0	0
hsa-miR-4676-5p	1.00	hsa-mir-4676	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-4677-3p	210.00	hsa-mir-4677	210.00	25.00	51.00	10.00	76.00	21.00	27.00	16.08	20.17	15.18	17.18	10.37	13.48
hsa-miR-4677-5p	2.00	hsa-mir-4677	2.00	0	0	0	1.00	0	1.00	0	0	0	0.23	0	0.50
hsa-miR-4678	1.00	hsa-mir-4678	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-4679	0.00	hsa-mir-4679-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4679	0.00	hsa-mir-4679-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4680-3p	4.00	hsa-mir-4680	4.00	1.00	1.00	2.00	0	0	0	0.64	0.40	3.04	0	0	0
hsa-miR-4680-5p	0.00	hsa-mir-4680	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4681	1.00	hsa-mir-4681	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-4682	2.00	hsa-mir-4682	2.00	0	0	0	0	1.00	1.00	0	0	0	0	0.49	0.50
hsa-miR-4683	14.00	hsa-mir-4683	14.00	6.00	4.00	4.00	0	0	0	3.86	1.58	6.07	0	0	0
hsa-miR-4684-5p	0.00	hsa-mir-4684	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4684-3p	0.00	hsa-mir-4684	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4685-3p	6.00	hsa-mir-4685	6.00	2.00	0	0	1.00	1.00	2.00	1.29	0	0	0.23	0.49	1.00
hsa-miR-4685-5p	0.00	hsa-mir-4685	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4686	0.00	hsa-mir-4686	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4687-3p	1.00	hsa-mir-4687	1.00	1.00	0	0	0	0	0	0.64	0	0	0	0	0
hsa-miR-4687-5p	0.00	hsa-mir-4687	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4688	0.00	hsa-mir-4688	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4689	0.00	hsa-mir-4689	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4690-3p	2.00	hsa-mir-4690	2.00	0	1.00	0	0	0	1.00	0	0.40	0	0	0	0.50
hsa-miR-4690-5p	2.00	hsa-mir-4690	2.00	1.00	1.00	0	0	0	0	0.64	0.40	0	0	0	0
hsa-miR-4691-5p	0.00	hsa-mir-4691	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4691-3p	0.00	hsa-mir-4691	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4692	0.00	hsa-mir-4692	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4693-3p	0.00	hsa-mir-4693	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4693-5p	0.00	hsa-mir-4693	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4694-3p	0.00	hsa-mir-4694	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4694-5p	0.00	hsa-mir-4694	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4695-5p	0.00	hsa-mir-4695	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4695-3p	1.00	hsa-mir-4695	1.00	0	0	1.00	0	0	0	0	0	1.52	0	0	0
hsa-miR-4696	0.00	hsa-mir-4696	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4697-5p	0.00	hsa-mir-4697	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4697-3p	0.00	hsa-mir-4697	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4698	11.00	hsa-mir-4698	11.00	0	0	0	9.00	1.00	1.00	0	0	0	2.03	0.49	0.50
hsa-miR-4699-3p	1.00	hsa-mir-4699	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-4699-5p	7.00	hsa-mir-4699	7.00	1.00	2.00	1.00	1.00	0	2.00	0.64	0.79	1.52	0.23	0	1.00
hsa-miR-4700-5p	0.00	hsa-mir-4700	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4700-3p	1.00	hsa-mir-4700	1.00	1.00	0	0	0	0	0	0.64	0	0	0	0	0
hsa-miR-4701-5p	2.00	hsa-mir-4701	2.00	2.00	0	0	0	0	0	1.29	0	0	0	0	0
hsa-miR-4701-3p	0.00	hsa-mir-4701	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4703-3p	5.00	hsa-mir-4703	5.00	0	0	0	2.00	1.00	2.00	0	0	0	0.45	0.49	1.00
hsa-miR-4703-5p	0.00	hsa-mir-4703	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4704-3p	0.00	hsa-mir-4704	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4704-5p	0.00	hsa-mir-4704	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4705	0.00	hsa-mir-4705	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4706	1.00	hsa-mir-4706	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-4707-5p	2.00	hsa-mir-4707	2.00	0	1.00	0	1.00	0	0	0	0.40	0	0.23	0	0
hsa-miR-4707-3p	1.00	hsa-mir-4707	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-4708-3p	0.00	hsa-mir-4708	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4708-5p	0.00	hsa-mir-4708	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4709-3p	1.00	hsa-mir-4709	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-4709-5p	0.00	hsa-mir-4709	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4710	0.00	hsa-mir-4710	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4711-3p	0.00	hsa-mir-4711	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4711-5p	0.00	hsa-mir-4711	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4712-5p	0.00	hsa-mir-4712	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4712-3p	3.00	hsa-mir-4712	3.00	0	2.00	0	0	0	1.00	0	0.79	0	0	0	0.50
hsa-miR-4713-5p	0.00	hsa-mir-4713	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4713-3p	0.00	hsa-mir-4713	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4714-5p	1.00	hsa-mir-4714	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-4714-3p	0.00	hsa-mir-4714	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4715-3p	0.00	hsa-mir-4715	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4715-5p	0.00	hsa-mir-4715	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4716-3p	0.00	hsa-mir-4716	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4716-5p	0.00	hsa-mir-4716	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4717-5p	0.00	hsa-mir-4717	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4717-3p	3.00	hsa-mir-4717	3.00	0	0	2.00	0	1.00	0	0	0	3.04	0	0.49	0
hsa-miR-4718	0.00	hsa-mir-4718	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4719	0.00	hsa-mir-4719	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4720-5p	0.00	hsa-mir-4720	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4720-3p	0.00	hsa-mir-4720	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4721	0.00	hsa-mir-4721	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4722-5p	0.00	hsa-mir-4722	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4722-3p	0.00	hsa-mir-4722	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4723-3p	0.00	hsa-mir-4723	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4723-5p	3.00	hsa-mir-4723	3.00	0	2.00	0	0	1.00	0	0	0.79	0	0	0.49	0
hsa-miR-4724-3p	0.00	hsa-mir-4724	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4724-5p	0.00	hsa-mir-4724	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4725-3p	0.00	hsa-mir-4725	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4725-5p	0.00	hsa-mir-4725	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4726-5p	1.00	hsa-mir-4726	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-4726-3p	0.00	hsa-mir-4726	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4727-3p	1.00	hsa-mir-4727	1.00	0	0	1.00	0	0	0	0	0	1.52	0	0	0
hsa-miR-4727-5p	0.00	hsa-mir-4727	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4728-5p	0.00	hsa-mir-4728	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4728-3p	0.00	hsa-mir-4728	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4729	2.00	hsa-mir-4729	2.00	1.00	0	0	0	0	1.00	0.64	0	0	0	0	0.50
hsa-miR-4730	0.00	hsa-mir-4730	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4731-3p	0.00	hsa-mir-4731	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4731-5p	0.00	hsa-mir-4731	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4732-3p	13.00	hsa-mir-4732	13.00	2.00	1.00	0	5.00	4.00	1.00	1.29	0.40	0	1.13	1.98	0.50
hsa-miR-4732-5p	52.00	hsa-mir-4732	52.00	2.00	5.00	0	16.00	26.00	3.00	1.29	1.98	0	3.62	12.84	1.50
hsa-miR-4733-5p	2.00	hsa-mir-4733	2.00	0	1.00	0	0	1.00	0	0	0.40	0	0	0.49	0
hsa-miR-4733-3p	0.00	hsa-mir-4733	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4734	0.00	hsa-mir-4734	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4735-5p	3.00	hsa-mir-4735	3.00	2.00	1.00	0	0	0	0	1.29	0.40	0	0	0	0
hsa-miR-4735-3p	0.00	hsa-mir-4735	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4736	0.00	hsa-mir-4736	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4737	0.00	hsa-mir-4737	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4738-3p	10.00	hsa-mir-4738	10.00	1.00	1.00	1.00	4.00	2.00	1.00	0.64	0.40	1.52	0.90	0.99	0.50
hsa-miR-4738-5p	0.00	hsa-mir-4738	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4739	0.00	hsa-mir-4739	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4740-5p	0.00	hsa-mir-4740	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4740-3p	0.00	hsa-mir-4740	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4741	0.00	hsa-mir-4741	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4742-5p	6.00	hsa-mir-4742	6.00	0	1.00	0	3.00	2.00	0	0	0.40	0	0.68	0.99	0
hsa-miR-4742-3p	0.00	hsa-mir-4742	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4743-3p	0.00	hsa-mir-4743	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4743-5p	3.00	hsa-mir-4743	3.00	0	1.00	1.00	0	1.00	0	0	0.40	1.52	0	0.49	0
hsa-miR-4744	0.00	hsa-mir-4744	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4745-5p	5.00	hsa-mir-4745	5.00	0	3.00	1.00	1.00	0	0	0	1.19	1.52	0.23	0	0
hsa-miR-4745-3p	1.00	hsa-mir-4745	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-4746-3p	0.00	hsa-mir-4746	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4746-5p	39.00	hsa-mir-4746	39.00	3.00	10.00	5.00	13.00	5.00	3.00	1.93	3.96	7.59	2.94	2.47	1.50
hsa-miR-4747-5p	3.00	hsa-mir-4747	3.00	0	2.00	0	1.00	0	0	0	0.79	0	0.23	0	0
hsa-miR-4747-3p	0.00	hsa-mir-4747	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4748	0.00	hsa-mir-4748	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4749-5p	5.00	hsa-mir-4749	5.00	1.00	0	0	3.00	1.00	0	0.64	0	0	0.68	0.49	0
hsa-miR-4749-3p	0.00	hsa-mir-4749	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4750-5p	0.00	hsa-mir-4750	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4750-3p	0.00	hsa-mir-4750	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4751	0.00	hsa-mir-4751	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4752	1.00	hsa-mir-4752	1.00	0	0	1.00	0	0	0	0	0	1.52	0	0	0
hsa-miR-4753-3p	0.00	hsa-mir-4753	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4753-5p	0.00	hsa-mir-4753	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4754	0.00	hsa-mir-4754	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4755-5p	1.00	hsa-mir-4755	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-4755-3p	3.00	hsa-mir-4755	3.00	1.00	0	0	2.00	0	0	0.64	0	0	0.45	0	0
hsa-miR-4756-3p	0.00	hsa-mir-4756	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4756-5p	0.00	hsa-mir-4756	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4757-3p	2.00	hsa-mir-4757	2.00	0	2.00	0	0	0	0	0	0.79	0	0	0	0
hsa-miR-4757-5p	1.00	hsa-mir-4757	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-4758-5p	0.00	hsa-mir-4758	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4758-3p	0.00	hsa-mir-4758	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4759	0.00	hsa-mir-4759	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4760-5p	0.00	hsa-mir-4760	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4760-3p	0.00	hsa-mir-4760	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4761-5p	0.00	hsa-mir-4761	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4761-3p	0.00	hsa-mir-4761	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4762-5p	4.00	hsa-mir-4762	4.00	0	0	0	3.00	0	1.00	0	0	0	0.68	0	0.50
hsa-miR-4762-3p	1.00	hsa-mir-4762	1.00	1.00	0	0	0	0	0	0.64	0	0	0	0	0
hsa-miR-4763-5p	1.00	hsa-mir-4763	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-4763-3p	0.00	hsa-mir-4763	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4764-5p	0.00	hsa-mir-4764	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4764-3p	0.00	hsa-mir-4764	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4765	0.00	hsa-mir-4765	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4766-5p	0.00	hsa-mir-4766	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4766-3p	1.00	hsa-mir-4766	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-4767	0.00	hsa-mir-4767	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4768-5p	0.00	hsa-mir-4768	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4768-3p	0.00	hsa-mir-4768	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4769-5p	1.00	hsa-mir-4769	1.00	0	0	1.00	0	0	0	0	0	1.52	0	0	0
hsa-miR-4769-3p	0.00	hsa-mir-4769	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4770	0.00	hsa-mir-4770	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4771	0.00	hsa-mir-4771-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4771	0.00	hsa-mir-4771-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4772-3p	5.00	hsa-mir-4772	5.00	0	0	0	5.00	0	0	0	0	0	1.13	0	0
hsa-miR-4772-5p	13.00	hsa-mir-4772	13.00	0	1.00	0	11.00	1.00	0	0	0.40	0	2.49	0.49	0
hsa-miR-4773	8.00	hsa-mir-4773-1	8.00	1.00	0	0	3.00	2.00	2.00	0.64	0	0	0.68	0.99	1.00
hsa-miR-4773	8.00	hsa-mir-4773-2	8.00	1.00	0	0	3.00	2.00	2.00	0.64	0	0	0.68	0.99	1.00
hsa-miR-4774-3p	0.00	hsa-mir-4774	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4774-5p	1.00	hsa-mir-4774	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-4775	16.00	hsa-mir-4775	16.00	2.00	0	1.00	4.00	4.00	5.00	1.29	0	1.52	0.90	1.98	2.50
hsa-miR-4776-3p	0.00	hsa-mir-4776-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4776-5p	0.00	hsa-mir-4776-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4776-3p	0.00	hsa-mir-4776-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4776-5p	0.00	hsa-mir-4776-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4777-5p	0.00	hsa-mir-4777	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4777-3p	0.00	hsa-mir-4777	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4778-3p	0.00	hsa-mir-4778	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4778-5p	0.00	hsa-mir-4778	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4779	0.00	hsa-mir-4779	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4780	0.00	hsa-mir-4780	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4781-5p	0.00	hsa-mir-4781	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4781-3p	12.00	hsa-mir-4781	12.00	0	0	0	6.00	6.00	0	0	0	0	1.36	2.96	0
hsa-miR-4782-3p	0.00	hsa-mir-4782	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4782-5p	0.00	hsa-mir-4782	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4783-3p	0.00	hsa-mir-4783	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4783-5p	0.00	hsa-mir-4783	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4784	0.00	hsa-mir-4784	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4785	0.00	hsa-mir-4785	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4786-5p	4.00	hsa-mir-4786	4.00	3.00	1.00	0	0	0	0	1.93	0.40	0	0	0	0
hsa-miR-4786-3p	0.00	hsa-mir-4786	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4787-3p	6.00	hsa-mir-4787	6.00	0	2.00	1.00	1.00	0	2.00	0	0.79	1.52	0.23	0	1.00
hsa-miR-4787-5p	0.00	hsa-mir-4787	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4788	0.00	hsa-mir-4788	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4789-5p	0.00	hsa-mir-4789	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4789-3p	0.00	hsa-mir-4789	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4790-5p	0.00	hsa-mir-4790	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4790-3p	0.00	hsa-mir-4790	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4791	19.00	hsa-mir-4791	19.00	1.00	5.00	0	7.00	3.00	3.00	0.64	1.98	0	1.58	1.48	1.50
hsa-miR-4793-3p	1.00	hsa-mir-4793	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-4793-5p	0.00	hsa-mir-4793	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4794	0.00	hsa-mir-4794	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4795-5p	0.00	hsa-mir-4795	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4795-3p	0.00	hsa-mir-4795	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4796-5p	3.00	hsa-mir-4796	3.00	0	0	0	3.00	0	0	0	0	0	0.68	0	0
hsa-miR-4796-3p	2.00	hsa-mir-4796	2.00	0	0	1.00	1.00	0	0	0	0	1.52	0.23	0	0
hsa-miR-4797-3p	9.00	hsa-mir-4797	9.00	3.00	3.00	1.00	1.00	0	1.00	1.93	1.19	1.52	0.23	0	0.50
hsa-miR-4797-5p	2.00	hsa-mir-4797	2.00	0	0	1.00	1.00	0	0	0	0	1.52	0.23	0	0
hsa-miR-4798-5p	1.00	hsa-mir-4798	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-4798-3p	0.00	hsa-mir-4798	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4799-5p	0.00	hsa-mir-4799	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4799-3p	0.00	hsa-mir-4799	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4800-3p	0.00	hsa-mir-4800	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4800-5p	0.00	hsa-mir-4800	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4801	0.00	hsa-mir-4801	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4802-5p	1.00	hsa-mir-4802	1.00	0	0	0	0	1.00	0	0	0	0	0	0.49	0
hsa-miR-4802-3p	1.00	hsa-mir-4802	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0.50
hsa-miR-4803	0.00	hsa-mir-4803	0.00	0	0	0	0	0	0	0	0	0	0	0	0
